,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Address Type,City,Landmark,Status,Borough
31,10/31/2013 12:30:36 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11236.0,BLOCKFACE,BROOKLYN,,Open,BROOKLYN
32,10/31/2013 12:30:31 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10036.0,ADDRESS,NEW YORK,,Open,MANHATTAN
33,10/31/2013 12:29:47 AM,10/31/2013 12:38:29 AM,NYPD,New York City Police Department,Noise - House of Worship,Banging/Pounding,House of Worship,10025.0,INTERSECTION,NEW YORK,,Closed,MANHATTAN
34,10/31/2013 12:28:30 AM,10/31/2013 02:06:11 AM,NYPD,New York City Police Department,Homeless Encampment,,Residential Building/House,10025.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
35,10/31/2013 12:23:24 AM,10/31/2013 01:05:41 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11433.0,ADDRESS,JAMAICA,,Closed,QUEENS
36,10/31/2013 12:23:00 AM,,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11235.0,INTERSECTION,BROOKLYN,,Open,BROOKLYN
37,10/31/2013 12:20:44 AM,10/31/2013 02:10:24 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216.0,ADDRESS,BROOKLYN,,Closed,BROOKLYN
38,10/31/2013 12:20:00 AM,,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11213.0,INTERSECTION,BROOKLYN,,Open,BROOKLYN
39,10/31/2013 12:19:48 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11379.0,ADDRESS,MIDDLE VILLAGE,,Open,QUEENS
40,10/31/2013 12:18:05 AM,10/31/2013 01:26:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11101.0,ADDRESS,LONG ISLAND CITY,,Closed,QUEENS
41,10/31/2013 12:16:25 AM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,10014.0,ADDRESS,NEW YORK,,Open,MANHATTAN
42,10/31/2013 12:15:06 AM,10/31/2013 03:00:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11231.0,LATLONG,BROOKLYN,,Closed,BROOKLYN
43,10/31/2013 12:14:42 AM,10/31/2013 01:39:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11234.0,ADDRESS,BROOKLYN,,Closed,BROOKLYN
44,10/31/2013 12:12:08 AM,10/31/2013 01:13:45 AM,NYPD,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,10457.0,BLOCKFACE,BRONX,,Closed,BRONX
45,10/31/2013 12:11:58 AM,10/31/2013 01:54:38 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10459.0,ADDRESS,BRONX,,Closed,BRONX
46,10/31/2013 12:09:07 AM,10/31/2013 12:53:12 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10465.0,ADDRESS,BRONX,,Closed,BRONX
47,10/31/2013 12:08:47 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10036.0,INTERSECTION,NEW YORK,,Open,MANHATTAN
48,10/31/2013 12:07:45 AM,10/31/2013 01:43:11 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
49,10/31/2013 12:05:10 AM,10/31/2013 02:43:43 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11225.0,ADDRESS,BROOKLYN,,Closed,BROOKLYN
50,10/31/2013 12:04:50 AM,10/31/2013 01:09:38 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10011.0,LATLONG,NEW YORK,,Closed,MANHATTAN
51,10/31/2013 12:03:27 AM,,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10003.0,INTERSECTION,NEW YORK,,Open,MANHATTAN
52,10/31/2013 12:02:01 AM,10/31/2013 01:02:28 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11207.0,ADDRESS,BROOKLYN,,Closed,BROOKLYN
53,10/31/2013 12:01:47 AM,10/31/2013 12:39:31 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
54,10/31/2013 12:01:45 AM,10/31/2013 12:02:37 AM,HRA,HRA Benefit Card Replacement,Benefit Card Replacement,Medicaid,NYC Street Address,,,,,Closed,Unspecified
55,10/31/2013 12:01:34 AM,10/31/2013 01:32:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10034.0,LATLONG,NEW YORK,,Closed,MANHATTAN
56,10/31/2013 12:01:00 AM,,DSNY,BCC - Brooklyn South,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11231.0,ADDRESS,BROOKLYN,,Open,BROOKLYN
57,10/31/2013 12:00:00 AM,,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11233.0,ADDRESS,BROOKLYN,,Open,BROOKLYN
58,10/31/2013 12:00:00 AM,,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11233.0,ADDRESS,BROOKLYN,,Open,BROOKLYN
59,10/31/2013 12:00:00 AM,,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10453.0,ADDRESS,BRONX,,Open,BRONX
60,10/31/2013 12:00:00 AM,,HPD,Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,RESIDENTIAL BUILDING,11233.0,ADDRESS,BROOKLYN,,Open,BROOKLYN
61,10/31/2013 12:00:00 AM,,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10456.0,ADDRESS,BRONX,,Open,BRONX
62,10/31/2013 12:00:00 AM,,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10469.0,ADDRESS,BRONX,,Open,BRONX
63,10/31/2013 12:00:00 AM,,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MAIL-BOX,RESIDENTIAL BUILDING,11233.0,ADDRESS,BROOKLYN,,Open,BROOKLYN
64,10/31/2013 12:00:00 AM,,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10032.0,ADDRESS,NEW YORK,,Open,MANHATTAN
65,10/31/2013 12:00:00 AM,,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11374.0,ADDRESS,Rego Park,,Open,QUEENS
66,10/31/2013 12:00:00 AM,,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,LOCKS,RESIDENTIAL BUILDING,10033.0,ADDRESS,NEW YORK,,Open,MANHATTAN
67,10/30/2013 11:58:43 PM,,DOT,Department of Transportation,Street Condition,Cave-in,Street,11218.0,ADDRESS,BROOKLYN,,Open,BROOKLYN
68,10/30/2013 11:57:57 PM,,DCA,Department of Consumer Affairs,Consumer Complaint,Exchange/Refund/Return,,11221.0,ADDRESS,BROOKLYN,,Open,BROOKLYN
69,10/30/2013 11:57:00 PM,10/31/2013 01:09:39 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11421.0,ADDRESS,WOODHAVEN,,Closed,QUEENS
70,10/30/2013 11:57:00 PM,10/30/2013 11:57:00 PM,DSNY,BCC - Brooklyn South,Derelict Vehicles,14 Derelict Vehicles,Street,11215.0,ADDRESS,BROOKLYN,,Pending,BROOKLYN
71,10/30/2013 11:55:03 PM,10/31/2013 12:00:05 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10036.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
72,10/30/2013 11:55:00 PM,10/30/2013 11:55:00 PM,DSNY,BCC - Brooklyn South,Derelict Vehicles,14 Derelict Vehicles,Street,11215.0,ADDRESS,BROOKLYN,,Pending,BROOKLYN
73,10/30/2013 11:53:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10007.0,INTERSECTION,NEW YORK,,Open,MANHATTAN
74,10/30/2013 11:53:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10019.0,INTERSECTION,NEW YORK,,Open,MANHATTAN
75,10/30/2013 11:50:51 PM,10/31/2013 12:26:09 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11221.0,ADDRESS,BROOKLYN,,Closed,BROOKLYN
76,10/30/2013 11:50:30 PM,10/31/2013 01:16:52 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11205.0,ADDRESS,BROOKLYN,,Closed,BROOKLYN
77,10/30/2013 11:49:10 PM,,NYPD,New York City Police Department,Drinking,In Public,Street/Sidewalk,11418.0,ADDRESS,RICHMOND HILL,,Open,QUEENS
78,10/30/2013 11:48:22 PM,,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,11369.0,ADDRESS,EAST ELMHURST,,Open,QUEENS
79,10/30/2013 11:47:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10019.0,INTERSECTION,NEW YORK,,Open,MANHATTAN
80,10/30/2013 11:46:51 PM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11249.0,ADDRESS,BROOKLYN,,Assigned,BROOKLYN
81,10/30/2013 11:45:02 PM,10/31/2013 01:05:42 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10005.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
82,10/30/2013 11:45:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10023.0,INTERSECTION,NEW YORK,,Open,MANHATTAN
83,10/30/2013 11:44:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10005.0,INTERSECTION,NEW YORK,,Open,MANHATTAN
84,10/30/2013 11:43:08 PM,,NYPD,New York City Police Department,Panhandling,,Street/Sidewalk,11418.0,ADDRESS,RICHMOND HILL,,Open,QUEENS
85,10/30/2013 11:42:42 PM,10/31/2013 01:37:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10009.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
86,10/30/2013 11:42:00 PM,10/31/2013 12:25:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,INTERSECTION,,,Closed,MANHATTAN
87,10/30/2013 11:40:52 PM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10027.0,ADDRESS,NEW YORK,,Assigned,MANHATTAN
88,10/30/2013 11:40:12 PM,,DCA,Department of Consumer Affairs,Consumer Complaint,Exchange/Refund/Return,,11221.0,ADDRESS,BROOKLYN,,Open,BROOKLYN
89,10/30/2013 11:40:00 PM,10/31/2013 01:27:17 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11211.0,BLOCKFACE,BROOKLYN,,Closed,BROOKLYN
90,10/30/2013 11:39:28 PM,,NYPD,New York City Police Department,Panhandling,,Street/Sidewalk,11418.0,ADDRESS,RICHMOND HILL,,Open,QUEENS
91,10/30/2013 11:38:53 PM,10/31/2013 01:25:12 AM,DOT,Department of Transportation,Street Condition,Plate Condition - Shifted,Street,11412.0,ADDRESS,SAINT ALBANS,,Closed,QUEENS
92,10/30/2013 11:37:23 PM,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11205.0,ADDRESS,BROOKLYN,,Assigned,BROOKLYN
93,10/30/2013 11:37:02 PM,,NYPD,New York City Police Department,Panhandling,,Street/Sidewalk,11418.0,ADDRESS,RICHMOND HILL,,Open,QUEENS
94,10/30/2013 11:37:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10005.0,BLOCKFACE,NEW YORK,,Open,MANHATTAN
95,10/30/2013 11:36:44 PM,10/31/2013 01:05:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10005.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
96,10/30/2013 11:34:49 PM,,NYPD,New York City Police Department,Panhandling,,Street/Sidewalk,11418.0,ADDRESS,RICHMOND HILL,,Open,QUEENS
97,10/30/2013 11:33:36 PM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10458.0,ADDRESS,BRONX,,Assigned,BRONX
98,10/30/2013 11:32:25 PM,10/31/2013 01:43:13 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003.0,INTERSECTION,NEW YORK,,Closed,MANHATTAN
99,10/30/2013 11:31:58 PM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,ADDRESS,NEW YORK,,Assigned,MANHATTAN
100,10/30/2013 11:31:51 PM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11229.0,ADDRESS,BROOKLYN,,Open,BROOKLYN
101,10/30/2013 11:31:38 PM,,NYPD,New York City Police Department,Panhandling,,Street/Sidewalk,11418.0,ADDRESS,RICHMOND HILL,,Open,QUEENS
102,10/30/2013 11:31:30 PM,,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11215.0,ADDRESS,BROOKLYN,,Assigned,BROOKLYN
103,10/30/2013 11:30:54 PM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027.0,ADDRESS,NEW YORK,,Assigned,MANHATTAN
104,10/30/2013 11:30:37 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10065.0,ADDRESS,NEW YORK,,Pending,MANHATTAN
105,10/30/2013 11:30:08 PM,10/31/2013 01:28:21 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10030.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
106,10/30/2013 11:28:32 PM,,NYPD,New York City Police Department,Panhandling,,Street/Sidewalk,11418.0,ADDRESS,RICHMOND HILL,,Open,QUEENS
107,10/30/2013 11:26:58 PM,10/31/2013 01:28:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
108,10/30/2013 11:26:37 PM,10/31/2013 01:38:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10009.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
109,10/30/2013 11:26:32 PM,10/31/2013 12:18:54 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11222.0,INTERSECTION,BROOKLYN,,Closed,BROOKLYN
110,10/30/2013 11:25:00 PM,,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10024.0,ADDRESS,NEW YORK,,Open,MANHATTAN
111,10/30/2013 11:24:40 PM,10/31/2013 01:51:33 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10458.0,ADDRESS,BRONX,,Closed,BRONX
112,10/30/2013 11:24:04 PM,10/31/2013 02:06:11 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10013.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
113,10/30/2013 11:23:20 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Mixed Use Building,11249.0,ADDRESS,BROOKLYN,,Pending,BROOKLYN
114,10/30/2013 11:22:25 PM,10/31/2013 02:15:36 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11420.0,ADDRESS,SOUTH OZONE PARK,,Closed,QUEENS
115,10/30/2013 11:22:00 PM,,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10003.0,ADDRESS,NEW YORK,,Open,MANHATTAN
116,10/30/2013 11:20:57 PM,10/31/2013 02:16:39 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11417.0,ADDRESS,OZONE PARK,,Closed,QUEENS
117,10/30/2013 11:20:26 PM,10/31/2013 01:18:56 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11365.0,ADDRESS,FRESH MEADOWS,,Closed,QUEENS
118,10/30/2013 11:19:00 PM,,DOT,Department of Transportation,Traffic Signal Condition,Post,,10312.0,INTERSECTION,STATEN ISLAND,,Open,STATEN ISLAND
119,10/30/2013 11:18:31 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Mixed Use Building,11249.0,ADDRESS,BROOKLYN,,Pending,BROOKLYN
120,10/30/2013 11:18:00 PM,,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,11236.0,INTERSECTION,BROOKLYN,,Open,BROOKLYN
121,10/30/2013 11:17:49 PM,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10024.0,ADDRESS,NEW YORK,,Open,MANHATTAN
122,10/30/2013 11:17:43 PM,10/31/2013 01:05:43 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
123,10/30/2013 11:16:45 PM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10466.0,ADDRESS,BRONX,,Open,BRONX
124,10/30/2013 11:15:21 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Vacant Lot,11233.0,ADDRESS,BROOKLYN,,Pending,BROOKLYN
125,10/30/2013 11:15:05 PM,10/31/2013 01:22:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11218.0,ADDRESS,BROOKLYN,,Closed,BROOKLYN
126,10/30/2013 11:15:00 PM,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11219.0,ADDRESS,BROOKLYN,,Open,BROOKLYN
127,10/30/2013 11:15:00 PM,,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,11432.0,ADDRESS,Jamaica,,Open,QUEENS
128,10/30/2013 11:14:15 PM,10/31/2013 01:28:20 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10012.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
129,10/30/2013 11:12:13 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11249.0,ADDRESS,BROOKLYN,,Pending,BROOKLYN
130,10/30/2013 11:11:51 PM,10/30/2013 11:59:02 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214.0,LATLONG,BROOKLYN,,Closed,BROOKLYN
131,10/30/2013 11:11:28 PM,10/31/2013 01:29:28 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10003.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
132,10/30/2013 11:10:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10013.0,BLOCKFACE,NEW YORK,,Open,MANHATTAN
133,10/30/2013 11:08:12 PM,10/30/2013 11:27:44 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11212.0,ADDRESS,BROOKLYN,,Closed,BROOKLYN
134,10/30/2013 11:08:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10005.0,ADDRESS,NEW YORK,,Open,MANHATTAN
135,10/30/2013 11:07:45 PM,10/30/2013 11:24:27 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10011.0,ADDRESS,NEW YORK,,Closed,MANHATTAN
136,10/30/2013 11:06:44 PM,10/30/2013 11:07:39 PM,DHS,Operations Unit - Department of Homeless Services,Homeless Person Assistance,Status Call,,10022.0,LATLONG,NEW YORK,,Closed,MANHATTAN
137,10/30/2013 11:03:01 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10459.0,ADDRESS,BRONX,,Pending,BRONX
138,10/30/2013 11:03:00 PM,,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,11232.0,INTERSECTION,BROOKLYN,,Open,BROOKLYN
139,10/30/2013 11:02:01 PM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,11040.0,ADDRESS,NEW HYDE PARK,,Open,QUEENS
140,10/30/2013 11:01:49 PM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11379.0,ADDRESS,MIDDLE VILLAGE,,Assigned,QUEENS
